role_normalized,alias,lang,notes
Implementation Consultant,system implementation consultant,en,
Implementation Consultant,導入顧問,zh,
Implementation Consultant,系統導入顧問,zh,
Solutions Analyst,Solutions Analyst,en,
Solutions Analyst,solutions analyst,en,
Solutions Analyst,solution analyst,en,
Solutions Analyst,business solutions analyst,en,
Solutions Analyst,解決方案分析師,zh,
Solutions Analyst,方案分析師,zh,
Solutions Engineer,Solutions Engineer,en,
Solutions Engineer,solutions engineer,en,
Solutions Engineer,solution engineer,en,
Solutions Engineer,pre sales engineer,en,
Solutions Engineer,sales engineer solutions,en,
Solutions Engineer,解決方案工程師,zh,
Solutions Engineer,售前工程師,zh,
Solutions Consultant,Solutions Consultant,en,
Solutions Consultant,solutions consultant,en,
Solutions Consultant,solution consultant,en,
Solutions Consultant,pre sales consultant,en,
Solutions Consultant,解決方案顧問,zh,
Solutions Consultant,售前顧問,zh,
Sales Engineer,Sales Engineer,en,
Sales Engineer,sales engineer,en,
Sales Engineer,pre sales engineer,en,
Sales Engineer,technical sales engineer,en,
Sales Engineer,業務工程師,zh,
Sales Engineer,售前工程師,zh,
Software Engineer,Software Engineer,en,
Software Engineer,software engineer,en,
Software Engineer,swe,en,
Software Engineer,software developer,en,
Software Engineer,軟體工程師,zh,
Software Engineer,SWE,en,
Backend Engineer,Backend Engineer,en,
Backend Engineer,backend engineer,en,
Backend Engineer,back end engineer,en,
Backend Engineer,backend developer,en,
Backend Engineer,server side engineer,en,
Backend Engineer,後端工程師,zh,
Frontend Engineer,Frontend Engineer,en,
Frontend Engineer,frontend engineer,en,
Frontend Engineer,front end engineer,en,
Frontend Engineer,frontend developer,en,
Frontend Engineer,web frontend engineer,en,
Frontend Engineer,前端工程師,zh,
Full Stack Engineer,Full Stack Engineer,en,
Full Stack Engineer,full stack engineer,en,
Full Stack Engineer,fullstack engineer,en,
Full Stack Engineer,full stack developer,en,
Full Stack Engineer,full-stack engineer,en,
Full Stack Engineer,全端工程師,zh,
QA Analyst,QA Analyst,en,
QA Analyst,qa analyst,en,
QA Analyst,quality assurance analyst,en,
QA Analyst,test analyst,en,
QA Analyst,QA分析師,mixed,
QA Analyst,品保分析師,zh,
QA Analyst,測試分析師,zh,
QA Engineer,QA Engineer,en,
QA Engineer,qa engineer,en,
QA Engineer,quality assurance engineer,en,
QA Engineer,test engineer,en,
QA Engineer,QA工程師,mixed,
QA Engineer,測試工程師,zh,
QA Engineer,品保工程師,zh,
Technical Program Manager,Technical Program Manager,en,
Technical Program Manager,technical program manager,en,
Technical Program Manager,tpm,en,TPM 通常是 Technical Program Manager，也可能指 total productive maintenance
Technical Program Manager,technical project manager,en,
Technical Program Manager,技術專案經理,zh,
Technical Program Manager,TPM,en,
Developer Relations Associate,Developer Relations Associate,en,
Developer Relations Associate,developer relations associate,en,
Developer Relations Associate,devrel associate,en,
Developer Relations Associate,developer advocate associate,en,
Developer Relations Associate,開發者關係專員,zh,
Developer Relations Associate,Developer Relations,en,
Developer Relations Associate,DevRel專員,mixed,
Technical Support Engineer,Technical Support Engineer,en,
Technical Support Engineer,technical support engineer,en,
Technical Support Engineer,support engineer,en,
Technical Support Engineer,customer support engineer,en,
Technical Support Engineer,技術支援工程師,zh,
Technical Support Engineer,客服工程師,zh,
HR Specialist,HR Specialist,en,
HR Specialist,hr specialist,en,
HR Specialist,human resources specialist,en,
HR Specialist,hr generalist,en,
HR Specialist,人資專員,zh,
HR Specialist,HR專員,mixed,
HR Specialist,Human Resources Specialist,en,
HR Analyst,HR Analyst,en,
HR Analyst,hr analyst,en,
HR Analyst,human resources analyst,en,
HR Analyst,people analyst,en,
HR Analyst,人資分析師,zh,
HR Analyst,HR分析師,mixed,
HR Analyst,Human Resources Analyst,en,
HR Business Partner,HR Business Partner,en,
HR Business Partner,hr business partner,en,
HR Business Partner,hrbp,en,
HR Business Partner,human resources business partner,en,
HR Business Partner,人資夥伴,zh,
HR Business Partner,HRBP,en,
People Operations Analyst,People Operations Analyst,en,
People Operations Analyst,people operations analyst,en,
People Operations Analyst,people ops analyst,en,
People Operations Analyst,hr operations analyst,en,
People Operations Analyst,People Ops分析師,mixed,
People Operations Analyst,人員營運分析師,zh,
People Operations Analyst,人資營運分析師,zh,
People Analyst,People Analyst,en,
People Analyst,people analyst,en,
People Analyst,people analytics analyst,en,
People Analyst,hr data analyst,en,
People Analyst,人員分析師,zh,
People Analyst,人資數據分析師,zh,
Talent Acquisition Specialist,Talent Acquisition Specialist,en,
Talent Acquisition Specialist,talent acquisition specialist,en,
Talent Acquisition Specialist,ta specialist,en,
Talent Acquisition Specialist,recruiting specialist,en,
Talent Acquisition Specialist,招募專員,zh,
Talent Acquisition Specialist,人才招募專員,zh,
Recruiter,Recruiter,en,
Recruiter,recruiter,en,
Recruiter,recruiting consultant,en,
Recruiter,talent recruiter,en,
Recruiter,招募顧問,zh,
Recruiter,招募專員,zh,
Headhunter,Headhunter,en,
Headhunter,headhunter,en,
Headhunter,executive recruiter,en,
Headhunter,search consultant,en,
Headhunter,獵頭,zh,
Headhunter,獵才顧問,zh,
Executive Search Associate,Executive Search Associate,en,
Executive Search Associate,executive search associate,en,
Executive Search Associate,executive search consultant,en,
Executive Search Associate,search associate,en,
Executive Search Associate,高階獵才顧問,zh,
Executive Search Associate,獵才專員,zh,
Recruitment Consultant,Recruitment Consultant,en,
Recruitment Consultant,recruitment consultant,en,
Recruitment Consultant,recruiting consultant,en,
Recruitment Consultant,talent acquisition consultant,en,
Recruitment Consultant,招募顧問,zh,
Recruitment Consultant,獵才顧問,zh,
Compensation & Benefits Analyst,Compensation & Benefits Analyst,en,
Compensation & Benefits Analyst,compensation & benefits analyst,en,
Compensation & Benefits Analyst,compensation and benefits analyst,en,
Compensation & Benefits Analyst,c&b analyst,en,
Compensation & Benefits Analyst,compensation analyst,en,
Compensation & Benefits Analyst,薪酬福利分析師,zh,
Compensation & Benefits Analyst,C&B分析師,mixed,
Compensation & Benefits Analyst,薪資福利分析師,zh,
Learning & Development Specialist,Learning & Development Specialist,en,
Learning & Development Specialist,learning & development specialist,en,
Learning & Development Specialist,learning and development specialist,en,
Learning & Development Specialist,l&d specialist,en,
Learning & Development Specialist,training and development specialist,en,
Learning & Development Specialist,學習發展專員,zh,
Learning & Development Specialist,訓練發展專員,zh,
Learning & Development Specialist,L&D專員,mixed,
Organizational Development Analyst,Organizational Development Analyst,en,
Organizational Development Analyst,organizational development analyst,en,
Organizational Development Analyst,od analyst,en,
Organizational Development Analyst,organization development analyst,en,
Organizational Development Analyst,組織發展分析師,zh,
Organizational Development Analyst,OD分析師,mixed,
Management Trainee,Management Trainee,en,
Management Trainee,management trainee,en,
Management Trainee,mt,en,MT 通常是 Management Trainee，但也可能是 machine translation
Management Trainee,management associate,en,
Management Trainee,graduate trainee,en,
Management Trainee,儲備幹部,zh,
Management Trainee,管理培訓生,zh,
Management Trainee,MT,en,
Graduate Trainee,Graduate Trainee,en,
Graduate Trainee,graduate trainee,en,
Graduate Trainee,graduate program trainee,en,
Graduate Trainee,graduate analyst,en,
Graduate Trainee,畢業生培訓計畫,zh,
Graduate Trainee,儲備人才,zh,
Leadership Development Program Analyst,Leadership Development Program Analyst,en,
Leadership Development Program Analyst,leadership development program analyst,en,
Leadership Development Program Analyst,ldp analyst,en,
Leadership Development Program Analyst,leadership program analyst,en,
Leadership Development Program Analyst,領導力發展計畫分析師,zh,
Leadership Development Program Analyst,LDP Analyst,en,
Leadership Development Program Analyst,儲備主管計畫,zh,
Rotational Program Associate,Rotational Program Associate,en,
Rotational Program Associate,rotational program associate,en,
Rotational Program Associate,rotational associate,en,
Rotational Program Associate,rotation program associate,en,
Rotational Program Associate,輪調計畫專員,zh,
Rotational Program Associate,儲備輪調專員,zh,
General Management Associate,General Management Associate,en,
General Management Associate,general management associate,en,
General Management Associate,general management trainee,en,
General Management Associate,綜合管理專員,zh,
General Management Associate,經營管理專員,zh,
Business Management Associate,Business Management Associate,en,
Business Management Associate,business management associate,en,
Business Management Associate,business management analyst,en,
Business Management Associate,商業管理專員,zh,
Assistant Manager,Assistant Manager,en,
Assistant Manager,assistant manager,en,
Assistant Manager,assistant mgr,en,
Assistant Manager,asst manager,en,
Assistant Manager,副理,zh,
Assistant Manager,助理經理,zh,
Founder,Founder,en,
Founder,founder,en,
Founder,co founder,en,
Founder,co-founder,en,
Founder,founder ceo,en,
Founder,創辦人,zh,
Founder,共同創辦人,zh,
Founder,Co-founder,en,
Entrepreneur in Residence,Entrepreneur in Residence,en,
Entrepreneur in Residence,entrepreneur in residence,en,
Entrepreneur in Residence,eir,en,
Entrepreneur in Residence,entrepreneur-in-residence,en,
Entrepreneur in Residence,駐站創業家,zh,
Entrepreneur in Residence,EIR,en,
Venture Builder,Venture Builder,en,
Venture Builder,venture builder,en,
Venture Builder,venture building associate,en,
Venture Builder,startup builder,en,
Venture Builder,創業建構者,zh,
Venture Builder,新創孵化專員,zh,
Startup Operations Associate,Startup Operations Associate,en,
Startup Operations Associate,startup operations associate,en,
Startup Operations Associate,startup ops associate,en,
Startup Operations Associate,new venture operations associate,en,
Startup Operations Associate,新創營運專員,zh,
Startup Operations Associate,新創運營專員,zh,
Strategy Associate,Strategy Associate,en,
Strategy Associate,strategy associate,en,
Strategy Associate,strategic associate,en,
Strategy Associate,策略專員,zh,
Investment Associate,Investment Associate,en,
Investment Associate,investment associate,en,
Investment Associate,investment manager,en,
Investment Associate,投資專員,zh,
Investment Associate,投資經理,zh,
Startup Investment Analyst,Startup Investment Analyst,en,
Startup Investment Analyst,startup investment analyst,en,
Startup Investment Analyst,venture investment analyst,en,
Startup Investment Analyst,startup analyst,en,
Startup Investment Analyst,新創投資分析師,zh,
Startup Investment Analyst,創投投資分析師,zh,
